startdate,station,pm,bc,na,mg,al,si,s,cl,k,ca,sc,ti,v,cr,mn,fe,co,ni,cu,zn,ga,ge,se,br,rb,sr,y,zr,nb,mo,pd,ag,cd,sn,sb,cs,ba,la,ce,sm,eu,tb,au,tl,pb,date1,central,month,season
10/25/2017,c1pm10,138.10001,3.6700001,.60750002,.27129999,.81519997,1.5438,7.8284998,.0146,.31130001,.8556,.0027999999,.050299998,.0117,.0022,.0167,.69459999,.00050000002,.0041999999,.024700001,.0458,.00050000002,0,0,.021,0,.0076000001,.0015,0,.0014,.00069999998,.0013,.0118,0,.0121,0,0,.016000001,.0083999997,0,0,0,0,.0027999999,0,.018200001,25oct2017,c1pm10,10,3
10/25/2017,c1pm25,35.360001,4.3600001,.93839997,1.3598,3.6441,8.6317997,7.9396,.1122,1.0479,9.2988997,0,.26409999,.0218,.0143,.076399997,3.9094999,.0096000005,.015799999,.0757,.1029,.001,.0011,.003,.039700001,.001,.0528,.0013,.0175,.0057999999,.0074999998,.00019999999,.0051000002,0,.0219,.0077999998,0,.061299998,.0065000001,.0071,.033599999,0,0,0,0,.029100001,25oct2017,c1pm25,10,3
10/26/2017,c1pm10,189.06,6,1.0969,2.1749001,5.8523998,14.4901,7.8018999,.26190001,1.665,17.1329,.0044,.47400001,.044799998,.0266,.127,6.6577001,.015900001,.0286,.1092,.14380001,.00039999999,.00079999998,.000099999997,.067000002,.0014,.1042,.0034,.0394,.0020000001,.0074,.0033,.0065000001,.0035000001,.034200002,0,0,.1929,0,0,0,0,0,0,0,.0207,26oct2017,c1pm10,10,3
10/26/2017,c1pm25,67.459999,4.9699998,.92860001,.5873,1.6339999,3.1308999,8.4336996,.0273,.4594,2.1134,.0048000002,.1068,.0294,.0043000001,.0288,1.3677,.0046999999,.0094999997,.033799998,.070600003,0,0,.0015,.046100002,0,.020199999,.00050000002,.0139,.0048000002,.0046999999,.0041999999,.0031000001,.00050000002,.0128,0,0,0,0,0,0,0,0,0,.0011,.0125,26oct2017,c1pm25,10,3
10/27/2017,c1pm10,147.97,4.8499999,1.1418,1.7027,4.6100998,10.6989,9.6754999,.085500002,1.3185,11.1898,0,.33500001,.035700001,.0176,.074600004,4.6392999,.0055999998,.0188,.056299999,.1072,.0038000001,0,.00039999999,.051100001,.0031999999,.066200003,0,.020400001,.0046999999,.0098000001,.00089999998,.0109,0,.025,0,.017000001,.1201,.0118,0,.015900001,.0403,0,.001,0,.0306,27oct2017,c1pm10,10,3
10/27/2017,c1pm25,66.230003,4.1199999,.9278,.44929999,1.2122999,2.4031,10.6074,.016799999,.4384,1.2577,.0013,.068499997,.023499999,.003,.020500001,.92390001,.001,.0088,.0173,.054299999,.0034,.001,.0013,.0383,.000099999997,.0146,.0023000001,.0055,.00019999999,.0057999999,.0018,.0027000001,0,.0155,.0107,0,0,0,0,.0134,0,0,0,0,.022600001,27oct2017,c1pm25,10,3
10/28/2017,c1pm10,88.43,2.5599999,.78979999,.986,2.4493999,5.7529001,7.1269002,.17129999,.75819999,6.1451001,.0044,.1901,.018300001,.0088999998,.046,2.3933001,.0060999999,.0117,.0232,.1512,.0014,0,.0054000001,.0162,.0020000001,.038199998,.0017,.0089999996,.00050000002,.0052,.0051000002,.0074999998,0,.018200001,0,0,.079099998,0,0,0,0,0,0,0,.0263,28oct2017,c1pm10,10,3
10/28/2017,c1pm25,41.48,2.4400001,.56599998,.2386,.5873,1.2021,7.2420998,.0117,.271,.6699,.0038999999,.037300002,.0127,.0020000001,.0174,.46470001,.000099999997,.0038999999,.0076000001,.0986,0,0,0,.0105,.0020999999,.0051000002,.00050000002,.0060999999,.0033,.0092000002,.021299999,.0027000001,0,.0034,0,0,0,0,0,0,0,0,0,.000099999997,.0125,28oct2017,c1pm25,10,3
10/29/2017,c1pm25,32.59,1.6900001,.51670003,.2154,.51310003,.89300001,5.6901999,.0105,.1885,.58490002,.0022,.025599999,.0093999999,.0020999999,.0086000003,.37220001,.00039999999,.0040000002,.0087000001,.052200001,0,0,.0031999999,.0122,0,.0060999999,.0020000001,.00060000003,.0037,.0038000001,0,.0022,0,.0052999998,0,0,0,0,0,0,0,0,.0017,.00039999999,.020199999,29oct2017,c1pm25,10,3
10/29/2017,c1pm10,74.559998,1.87,.82440001,.92900002,2.0878999,4.9116998,5.6708002,.1441,.59799999,5.5678,0,.13950001,.015799999,.0088999998,.034299999,2.0211,.0046999999,.0085000005,.0189,.082199998,.0018,0,.0011,.0184,.00050000002,.033500001,.00060000003,.0076000001,.0017,.0046000001,.0013,.0044,0,.0089999996,.0088,.0038000001,.054499999,0,0,0,0,0,0,0,.0093999999,29oct2017,c1pm10,10,3
10/29/2017,c2pm10,72.860001,2.0999999,.89459997,.9034,1.712,3.8850999,6.7765002,.1115,.50400001,4.1198001,.0038000001,.1088,.0116,.0048000002,.0337,1.6406,.0024999999,.0062000002,.0128,.052900001,0,0,.0027999999,.020500001,.00060000003,.028999999,.0024999999,.0046000001,.0018,.00089999998,0,.0018,0,.0018,0,0,.0097000003,0,0,0,0,0,.00019999999,0,.0138,29oct2017,c2pm10,10,3
10/29/2017,c2pm25,39.299999,1.89,.53829998,.2203,.45249999,.75989997,6.7080002,.0131,.1591,.479,.0052,.0217,.0063,.0019,.0093999999,.30289999,.00079999998,.0031000001,.0066,.0252,0,0,.0027999999,.0085000005,.0012000001,.0070000002,0,0,.0044,0,0,.0038000001,0,.0106,0,0,0,.061299998,.0176,.048900001,0,0,.0143,.0034,.0208,29oct2017,c2pm25,10,3
10/30/2017,c2pm25,234.19,5.0599999,.29629999,3.9614,12.3478,26.8731,3.7174001,.2124,3.1057999,18.0292,0,.8369,.036699999,.043900002,.2097,11.9543,.0317,.044,.0163,.090499997,.0066,0,.0014,.019400001,.0136,.066600002,.0033,.022399999,.0038000001,.0019,.0033,.0033,0,.019200001,.0093,0,.138,.0264,.0065000001,.0109,0,0,0,.0020000001,.0261,30oct2017,c2pm25,10,3
10/30/2017,c1pm25,226.97,4.3800001,.2124,4.0386,12.6731,28.1945,2.6008999,.2719,3.2558,19.1094,0,.8818,.032400001,.042300001,.2172,12.6969,.027899999,.046100002,.0178,.057300001,.0082999999,.0027999999,.0011,.017200001,.0102,.0669,.0048000002,.031099999,.0094999997,.0031000001,.0121,.0055,0,.0233,0,.0044,.081799999,.0082999999,0,.0372,0,0,0,0,.0153,30oct2017,c1pm25,10,3
10/31/2017,c1pm25,335.07999,5.9299998,.2164,4.1992002,15.5389,34.720001,2.3961999,.4095,4.5472999,28.2029,.0013,1.2965,.052499998,.062399998,.3096,18.5667,.0502,.066200003,.030200001,.059700001,.0044999998,0,.0046000001,.0176,.0241,.1073,.0093999999,.045899998,.0074999998,.0070000002,.0109,.0066,0,.0077,.00069999998,.0019,.1185,0,.039000001,.032400001,0,0,.0118,.0027999999,.031199999,31oct2017,c1pm25,10,3
10/31/2017,c2pm25,309.20001,5.8800001,.4368,4.1013999,14.3033,32.249199,2.8285999,.43489999,4.4380002,24.739201,.0015,1.1641001,.062199999,.0535,.29640001,16.415199,.045499999,.0557,.0295,.17129999,.0073000002,0,.00030000001,.0199,.020199999,.093500003,.0055999998,.039299998,.0093999999,0,.0055999998,.0136,0,.0229,.0070000002,0,.13429999,.020099999,.0098000001,0,0,0,.0108,.000099999997,.043000001,31oct2017,c2pm25,10,3
11/1/2017,c2pm25,77.690002,4.3099999,.35679999,1.3475,3.9389,8.6999998,2.8213999,.1336,1.0611,6.9207001,.00069999998,.23100001,.0298,.0089999996,.052200001,2.934,.0046000001,.0142,.0104,.061099999,.00089999998,0,.00069999998,.0484,.0023000001,.034200002,.0020999999,.0134,.0013,.0014,.0020000001,.013,.0018,.0037,0,0,.039500002,.0143,0,0,0,0,0,0,.0138,01nov2017,c2pm25,11,3
11/1/2017,c1pm25,65.940002,3.72,.37079999,1.2912,3.6795001,7.9081001,1.9016,.16140001,.94260001,6.0170999,0,.2183,.022299999,.0091000004,.048900001,2.8773999,.0026,.0134,.0297,.0436,.003,.00079999998,.0031999999,.040800001,.0054000001,.020500001,.0049000001,.0060000001,.0041999999,.0037,.0057999999,.001,0,.00039999999,0,.0074999998,.058899999,.0199,0,0,0,0,0,0,.0229,01nov2017,c1pm25,11,3
